,author_id,username,display_name,author_desc,author_location,followers,following,tweets count,tweet_id,conversation_id,tweet_lang,tweet_date,text,retweet_count,reply_count,like_count,quote_count,reply_to,geo,clean_mentions,clean_annotations,clean_urls,clean_hashtags,conversation_ref,author_ref,tweet_type_ref
0,961455584796139520,keeelylc,absolutely not,your fave queer sagittarian auntie from Detroit,[],337,664,2773,1424879890663362560,1424879890663362560,en,2021-08-09 23:46:53+00:00,"RT @Dazed: Kelli Hand, the artist dubbed the ‘First Lady of Detroit’, deserves to be remembered as one of the best and most important produ…",8,0,0,0,[],[],Dazed,"Kelli Hand, First Lady of Detroit",[],[],1424875689153605637,15317676,retweeted
1,1282912579262849024,fuckbeanzo,Go Fuck Myself,"Kabrina. 30.
I'm hella dumb.
Slightly Virginian.  
Sometimes I'm funny. 
There's a special place in hell for Corn. 
👽🖤🤟🏾",[],121,489,12477,1424878500775931904,1424878500775931904,en,2021-08-09 23:41:22+00:00,"RT @Dazed: Kelli Hand, the artist dubbed the ‘First Lady of Detroit’, deserves to be remembered as one of the best and most important produ…",8,0,0,0,[],[],Dazed,"Kelli Hand, First Lady of Detroit",[],[],1424875689153605637,15317676,retweeted
2,359519851,iamcolly_,𝙨𝙤𝙠𝙤𝙫𝙞𝙖𝙣 𝙛𝙤𝙧𝙩𝙪𝙣𝙚 𝙩𝙚𝙡𝙡𝙚𝙧❤️🇺🇦,I am Jack’s complete lack of serotonin. 𝙣𝙚𝙤 𝙢𝙖𝙭𝙞 𝙯𝙤𝙤𝙣 𝙙𝙬𝙚𝙚𝙗𝙞𝙚. they/them 🏳️‍🌈🇬🇭🇮🇪🇪🇺♉️♒️♎️,IG: thisiscolly,1537,689,228292,1424878346287173632,1424878346287173632,en,2021-08-09 23:40:45+00:00,"RT @Dazed: Kelli Hand, the artist dubbed the ‘First Lady of Detroit’, deserves to be remembered as one of the best and most important produ…",8,0,0,0,[],[],Dazed,"Kelli Hand, First Lady of Detroit",[],[],1424875689153605637,15317676,retweeted
3,1440223566,LeeM999888777,Lee M,"Interested in politics,(local and international), art, economics, science, medicine. Much educated- epidemiology,communications, education, geography.Writer.",Australia,1214,4750,28008,1424876323902685184,1424876323902685184,en,2021-08-09 23:32:43+00:00,"RT @Anne_E_Huth: @Kon__K Hand signals - no not the rude ones though they might work too. While giving the evil eye, point to your mask &amp; th…",1,0,0,0,[],[],"Anne_E_Huth, Kon__K",[],[],[],1424682193893224449,1032824209506881536,retweeted
4,15317676,Dazed,Dazed,Where pop culture meets the underground.,London,1252651,10110,102180,1424875689153605632,1424875689153605632,en,2021-08-09 23:30:11+00:00,"Kelli Hand, the artist dubbed the ‘First Lady of Detroit’, deserves to be remembered as one of the best and most important producers in the history of electronic music.

https://t.co/F8aVuT9u8g",8,1,25,0,[],[],[],"Kelli Hand, First Lady of Detroit",https://bit.ly/3ipIbtK,[],[],[],[]
5,1032824209506881536,Anne_E_Huth,AEH 🇺🇦,"Labor (Flynn) - atheist - artist - #blacklivesmatter - @annehuthartist & @artenjoyment for artwork - B Bus (A/c), BA (Fine Art) - no DMs unless requested.","Queensland, Australia",2071,2186,25377,1424872457744248832,1424682193893224448,en,2021-08-09 23:17:21+00:00,"@Kon__K Hand signals - no not the rude ones though they might work too. While giving the evil eye, point to your mask &amp; then to their unmasked faces &amp; then raise your hands, palms up, in a question gesture. A group together probably means they have no medical reason for not wearing mask.",1,0,4,0,238575113.0,[],Kon__K,[],[],[],1424682193893224449,238575113,replied_to
6,911073108,p_f_a_d,γ waveRDRRR 🏄🏽,"🌟From the future and the past🌟 Musician, producer, student. Artists: Pretty From A Distance, Brahmulus, mgmt: lionofistan@gmail.com",[],433,1508,20887,1424870051392393216,1424870051392393216,en,2021-08-09 23:07:47+00:00,"For the house junkies!!!

https://t.co/MWdDfSSSrq",1,0,1,0,[],[],[],[],https://www.mixcloud.com/balamii/alex-virgo-paul-johnson-k-hand-tribute-august-2021/,[],[],[],[]
7,19613105,rhythm86,Rhythm 86,"Rhythm 86 Internet Radio The House & Dance Station
Live Stream: https://t.co/36f3Tppup8","San Francisco, CA",839,588,102461,1424829168190164992,1424829168190164992,en,2021-08-09 20:25:20+00:00,DJs say goodbye to Detroit legend K-Hand https://t.co/ohTEPrqw2F,0,0,0,0,[],[],[],Detroit,https://rhythm86.com/djs-say-goodbye-to-detroit-legend-k-hand-2/,[],[],[],[]
8,19613105,rhythm86,Rhythm 86,"Rhythm 86 Internet Radio The House & Dance Station
Live Stream: https://t.co/36f3Tppup8","San Francisco, CA",839,588,102461,1424827058459402240,1424827058459402240,en,2021-08-09 20:16:57+00:00,DJs say goodbye to Detroit legend K-Hand https://t.co/e1ygNlDJpV,0,0,0,0,[],[],[],Detroit,https://rhythm86.com/djs-say-goodbye-to-detroit-legend-k-hand/,[],[],[],[]
9,1424276838663270400,De_dismantler,The Dismantler,Here u’ll have everything for free that  Tatti Shoayb Khan & Waqar Zaka sells for $12 & later blocks on discussing invalidated calls/front mans signals.,[],6,4,72,1424805658617163776,1424125287462223872,en,2021-08-09 18:51:55+00:00,@Usher23626300 Lastly to break you bubble ye account 4 logo k hand mai hai... Or SYCAP kay ander 84 logo nay forward block banaya hua hai or alag say exact same discord banaya hua hai. Jo b message ata hai BOTS automatically us group ma forward ker detay hain. $12 mai 84log,0,0,0,0,1.2276292677033247e+18,[],Usher23626300,[],[],[],"[{'type': 'replied_to', 'id': '1424720661486784512'}]","[{'type': 'replied_to', 'id': '1424720661486784512'}]",replied_to
